model_set,model,year_id,location_id,abbreviation,state_name,state,region,division,population,pc,pc_lower,pc_upper,fr,fr_upper,fr_lower,aroc,aroc_yrs
Aggregate,Aggregate,2019,523,AL,Alabama,1,South,East South Central,5082272.4184352,8776.06564968958,8594.94964968958,8957.18164968958,,,,0.0231615491466726,2013-2019
toc,Dental,2019,523,AL,Alabama,1,South,East South Central,5082272.4184352,316.822302685368,298.174829869308,336.501753147497,0.0361005609739337,0.0381156324130727,0.0341786986288764,0.00838783148083211,2013-2019
toc,Home health,2019,523,AL,Alabama,1,South,East South Central,5082272.4184352,247.343737010893,210.44839067039,283.654626955307,0.0281834615147499,0.0322144418184321,0.02404430936285,0.022853428138923,2013-2019
toc,Hospital,2019,523,AL,Alabama,1,South,East South Central,5082272.4184352,3235.26284631689,3109.98847379056,3369.75457001959,0.368643725381542,0.380068625344645,0.357267993493536,0.0235428655662033,2013-2019
Payer,Medicaid,2019,523,AL,Alabama,1,South,East South Central,5082272.4184352,1173.14151649443,939.955264738514,1393.2366468853,0.133681488662144,0.158088188482327,0.107564226389506,0.017373493484601,2013-2019
Payer,Medicare,2019,523,AL,Alabama,1,South,East South Central,5082272.4184352,2496.70966889274,2410.89873215898,2583.08278775849,0.284488579300796,0.291614892090327,0.277500655087286,0.0290137102671362,2013-2019
toc,Skilled nursing,2019,523,AL,Alabama,1,South,East South Central,5082272.4184352,429.170464026433,400.467128348241,458.948976237142,0.0489024584431794,0.0519005645595246,0.0458419316139558,0.00218366764334466,2013-2019
Payer,OOP,2019,523,AL,Alabama,1,South,East South Central,5082272.4184352,2432.27173272689,2135.40428745216,2740.44419953087,0.277147693728624,0.31150937283039,0.243601083618201,0.0255905974897133,2013-2019
toc,Other professional,2019,523,AL,Alabama,1,South,East South Central,5082272.4184352,207.968601709039,198.359551639617,218.032820138587,0.0236970579192626,0.0246754119698311,0.0226910449940835,0.0222449248233489,2013-2019
toc,Other,2019,523,AL,Alabama,1,South,East South Central,5082272.4184352,557.844763040125,522.992203200783,594.779906554812,0.0635649719410822,0.0678069611970505,0.0597436429836023,0.0225840053628967,2013-2019
toc,Pharmaceuticals,2019,523,AL,Alabama,1,South,East South Central,5082272.4184352,1752.94448930706,1659.25634749839,1841.99379296997,0.199740607191991,0.20923019072441,0.189836123383647,0.0378129662334961,2013-2019
toc,Physician/clinical services,2019,523,AL,Alabama,1,South,East South Central,5082272.4184352,2027.50541068308,1978.34521993761,2079.17977591722,0.231027312475106,0.23415491430736,0.228012365704514,0.0179879828154361,2013-2019
Payer,Private,2019,523,AL,Alabama,1,South,East South Central,5082272.4184352,2665.17928330376,2350.53367540853,2970.82966518497,0.303677441472839,0.336353792748301,0.268962766518567,0.0177295656130838,2013-2019
Aggregate,Aggregate,2019,524,AK,Alaska,2,West,Pacific,743798.423760937,14179.4110783891,13514.6090783891,14844.2130783891,,,,0.0329844168523907,2013-2019
toc,Dental,2019,524,AK,Alaska,2,West,Pacific,743798.423760937,658.244720612519,596.475830521306,718.716893138698,0.0464206699048599,0.0494264367292129,0.0433041819735052,0.0203707262274102,2013-2019
toc,Home health,2019,524,AK,Alaska,2,West,Pacific,743798.423760937,255.791011375063,186.489525505765,329.278688707169,0.0180392561856644,0.0228709617987092,0.013060957003174,0.0150234055859042,2013-2019
toc,Hospital,2019,524,AK,Alaska,2,West,Pacific,743798.423760937,6178.0797440337,5709.12231248679,6647.94745732667,0.435700168777893,0.45613176116534,0.415715896099289,0.0393401898286909,2013-2019
Payer,Medicaid,2019,524,AK,Alaska,2,West,Pacific,743798.423760937,2545.30323367808,2044.99750959683,3043.00713011041,0.179481345204809,0.213703699844135,0.1453047321366,0.0412401990618621,2013-2019
Payer,Medicare,2019,524,AK,Alaska,2,West,Pacific,743798.423760937,1540.48967304835,1238.1612166111,1826.2909454395,0.1086474379161,0.128279427169304,0.0889170222640309,0.0647726545331555,2013-2019
toc,Skilled nursing,2019,524,AK,Alaska,2,West,Pacific,743798.423760937,243.143934588806,213.383784338432,275.483332259778,0.0171489103749639,0.0191283808239541,0.0152732280528935,0.0238195159782846,2013-2019
Payer,OOP,2019,524,AK,Alaska,2,West,Pacific,743798.423760937,5845.05505076846,5250.64971083441,6474.0008466827,0.412197723375744,0.444611726044076,0.381695302950504,0.0372584580628415,2013-2019
toc,Other professional,2019,524,AK,Alaska,2,West,Pacific,743798.423760937,599.194789825335,523.453147344361,679.631479968196,0.0422559682572727,0.0470167912723409,0.037565360149716,0.0355036613097544,2013-2019
toc,Other,2019,524,AK,Alaska,2,West,Pacific,743798.423760937,1201.93307634082,1053.70867527601,1357.18043430623,0.0847607417669433,0.0934517187367318,0.0758938290354568,0.0236007730802068,2013-2019
toc,Pharmaceuticals,2019,524,AK,Alaska,2,West,Pacific,743798.423760937,836.955915806598,482.089175147957,1188.14253691804,0.0590285368100065,0.083930473446816,0.0339044767383214,0.0422077982620608,2013-2019
toc,Physician/clinical services,2019,524,AK,Alaska,2,West,Pacific,743798.423760937,4220.90344504608,3684.07392824122,4753.2205311855,0.29768179449421,0.327914567482057,0.266716125700745,0.0289281560160848,2013-2019
