model_set,model,year_id,location_id,abbreviation,state_name,state,region,division,population,pc,pc_lower,pc_upper,fr,fr_upper,fr_lower
Aggregate,Aggregate,2000,523,AL,Alabama,00001,South,East South Central,4436527.44402175,5727.82010067693,5727.82010067693,5727.82010067693,,,
toc,Dental,2000,523,AL,Alabama,00001,South,East South Central,4436527.44402175,247.399417020611,247.399417020611,247.399417020611,0.0431925955550476,0.0431925955550476,0.0431925955550476
toc,Home health,2000,523,AL,Alabama,00001,South,East South Central,4436527.44402175,144.643574501469,144.643574501469,144.643574501469,0.025252813803348,0.025252813803348,0.025252813803348
toc,Hospital,2000,523,AL,Alabama,00001,South,East South Central,4436527.44402175,2109.44000279743,2109.44000279743,2109.44000279743,0.368279723475975,0.368279723475975,0.368279723475975
toc,Skilled nursing,2000,523,AL,Alabama,00001,South,East South Central,4436527.44402175,388.443264554848,388.443264554848,388.443264554848,0.0678169456664571,0.0678169456664571,0.0678169456664571
toc,Other professional,2000,523,AL,Alabama,00001,South,East South Central,4436527.44402175,135.480633130335,135.480633130335,135.480633130335,0.02365308804205,0.02365308804205,0.02365308804205
toc,Other,2000,523,AL,Alabama,00001,South,East South Central,4436527.44402175,329.538641454703,329.538641454703,329.538641454703,0.0575329943438268,0.0575329943438268,0.0575329943438268
toc,Pharmaceuticals,2000,523,AL,Alabama,00001,South,East South Central,4436527.44402175,884.223842314406,884.223842314406,884.223842314406,0.154373535965263,0.154373535965263,0.154373535965263
toc,Physician/clinical services,2000,523,AL,Alabama,00001,South,East South Central,4436527.44402175,1488.65072490312,1488.65072490312,1488.65072490312,0.259898303148032,0.259898303148032,0.259898303148032
Aggregate,Aggregate,2001,523,AL,Alabama,00001,South,East South Central,4470757.0884355,5918.95960201999,5918.95960201999,5918.95960201999,,,
toc,Dental,2001,523,AL,Alabama,00001,South,East South Central,4470757.0884355,257.16639731655,257.16639731655,257.16639731655,0.0434479054779806,0.0434479054779806,0.0434479054779806
toc,Home health,2001,523,AL,Alabama,00001,South,East South Central,4470757.0884355,144.636230876428,144.636230876428,144.636230876428,0.0244360902255639,0.0244360902255639,0.0244360902255639
toc,Hospital,2001,523,AL,Alabama,00001,South,East South Central,4470757.0884355,2137.43739871012,2137.43739871012,2137.43739871012,0.361117078410312,0.361117078410312,0.361117078410312
toc,Skilled nursing,2001,523,AL,Alabama,00001,South,East South Central,4470757.0884355,405.299328280101,405.299328280101,405.299328280101,0.0684747583243824,0.0684747583243824,0.0684747583243824
toc,Other professional,2001,523,AL,Alabama,00001,South,East South Central,4470757.0884355,134.146130615061,134.146130615061,134.146130615061,0.0226638023630505,0.0226638023630505,0.0226638023630505
toc,Other,2001,523,AL,Alabama,00001,South,East South Central,4470757.0884355,333.775917407142,333.775917407142,333.775917407142,0.056390977443609,0.056390977443609,0.056390977443609
toc,Pharmaceuticals,2001,523,AL,Alabama,00001,South,East South Central,4470757.0884355,964.135578567489,964.135578567489,964.135578567489,0.162889366272825,0.162889366272825,0.162889366272825
toc,Physician/clinical services,2001,523,AL,Alabama,00001,South,East South Central,4470757.0884355,1542.3626202471,1542.3626202471,1542.3626202471,0.260580021482277,0.260580021482277,0.260580021482277
Aggregate,Aggregate,2002,523,AL,Alabama,00001,South,East South Central,4503783.26010835,6295.61914553145,6295.61914553145,6295.61914553145,,,
toc,Dental,2002,523,AL,Alabama,00001,South,East South Central,4503783.26010835,275.997949675452,275.997949675452,275.997949675452,0.0438396833250867,0.0438396833250867,0.0438396833250867
toc,Home health,2002,523,AL,Alabama,00001,South,East South Central,4503783.26010835,152.639949594775,152.639949594775,152.639949594775,0.0242454230578921,0.0242454230578921,0.0242454230578921
toc,Hospital,2002,523,AL,Alabama,00001,South,East South Central,4503783.26010835,2219.1979610473,2219.1979610473,2219.1979610473,0.352498762988619,0.352498762988619,0.352498762988619
Payer,Medicaid,2002,523,AL,Alabama,00001,South,East South Central,4503783.26010835,889.405347146931,889.405347146931,889.405347146931,0.141273689940126,0.141273689940126,0.141273689940126
Payer,Medicare,2002,523,AL,Alabama,00001,South,East South Central,4503783.26010835,1368.84311571405,1368.84311571405,1368.84311571405,0.21742787866792,0.21742787866792,0.21742787866792
toc,Skilled nursing,2002,523,AL,Alabama,00001,South,East South Central,4503783.26010835,406.832192185259,406.832192185259,406.832192185259,0.0646214745175657,0.0646214745175657,0.0646214745175657
Payer,OOP,2002,523,AL,Alabama,00001,South,East South Central,4503783.26010835,1839.5581698433,1839.5581698433,1839.5581698433,0.292196546093325,0.292196546093325,0.292196546093325
toc,Other professional,2002,523,AL,Alabama,00001,South,East South Central,4503783.26010835,140.491055647436,140.491055647436,140.491055647436,0.0223156853043048,0.0223156853043048,0.0223156853043048
toc,Other,2002,523,AL,Alabama,00001,South,East South Central,4503783.26010835,368.516449735958,368.516449735958,368.516449735958,0.0585353785254825,0.0585353785254825,0.0585353785254825
toc,Pharmaceuticals,2002,523,AL,Alabama,00001,South,East South Central,4503783.26010835,1082.49760171805,1082.49760171805,1082.49760171805,0.171944581890153,0.171944581890153,0.171944581890153
toc,Physician/clinical services,2002,523,AL,Alabama,00001,South,East South Central,4503783.26010835,1649.44598592722,1649.44598592722,1649.44598592722,0.261999010390896,0.261999010390896,0.261999010390896
